model,alpha,module,task,metric,value,format_error_rate,wrong_answer_rate,length_finish_rate
llama1b,-0.3,bfcl,BFCL_v3_simple,First_pass_success,0.01,,,
llama1b,-0.3,bfcl,BFCL_v3_simple,Retry_enabled_success,0.01,,,
llama1b,-0.3,judge,AdvBench,score,2.7,,,
llama1b,-0.3,judge,HaluEval,score,0.5,,,
llama1b,-0.3,judge,TruthfulQA,score,0.49,,,
llama1b,-0.3,standard,ARC-Challenge,correct_rate,0.23,0.0,0.77,
llama1b,-0.3,standard,DROP,correct_rate,0.12,0.05,0.83,
llama1b,-0.3,standard,GSM8K,correct_rate,0.15,0.0,0.85,
llama1b,-0.3,standard,MATH,correct_rate,0.16,0.02,0.82,
llama1b,-0.3,standard_cot,GSM8K,correct_rate,0.15,0.07,0.78,0.04
llama1b,-0.3,standard_cot,MATH,correct_rate,0.16,0.31,0.53,0.31
llama1b,-0.2,bfcl,BFCL_v3_simple,First_pass_success,0.055,,,
llama1b,-0.2,bfcl,BFCL_v3_simple,Retry_enabled_success,0.085,,,
llama1b,-0.2,judge,AdvBench,score,2.74,,,
llama1b,-0.2,judge,HaluEval,score,0.89,,,
llama1b,-0.2,judge,TruthfulQA,score,0.58,,,
llama1b,-0.2,standard,ARC-Challenge,correct_rate,0.35,0.0,0.65,
llama1b,-0.2,standard,DROP,correct_rate,0.25,0.0,0.75,
llama1b,-0.2,standard,GSM8K,correct_rate,0.2,0.0,0.8,
llama1b,-0.2,standard,MATH,correct_rate,0.21,0.0,0.79,
llama1b,-0.2,standard_cot,GSM8K,correct_rate,0.31,0.03,0.66,0.01
llama1b,-0.2,standard_cot,MATH,correct_rate,0.19,0.2,0.61,0.19
llama1b,-0.1,bfcl,BFCL_v3_simple,First_pass_success,0.04,,,
llama1b,-0.1,bfcl,BFCL_v3_simple,Retry_enabled_success,0.09,,,
llama1b,-0.1,judge,AdvBench,score,2.83,,,
llama1b,-0.1,judge,HaluEval,score,1.21,,,
llama1b,-0.1,judge,TruthfulQA,score,0.56,,,
llama1b,-0.1,standard,ARC-Challenge,correct_rate,0.43,0.0,0.57,
llama1b,-0.1,standard,DROP,correct_rate,0.24,0.0,0.76,
llama1b,-0.1,standard,GSM8K,correct_rate,0.17,0.0,0.83,
llama1b,-0.1,standard,MATH,correct_rate,0.28,0.0,0.72,
llama1b,-0.1,standard_cot,GSM8K,correct_rate,0.33,0.03,0.64,0.0
llama1b,-0.1,standard_cot,MATH,correct_rate,0.28,0.14,0.58,0.12
llama1b,0.0,bfcl,BFCL_v3_simple,First_pass_success,0.0,,,
llama1b,0.0,bfcl,BFCL_v3_simple,Retry_enabled_success,0.01,,,
llama1b,0.0,judge,AdvBench,score,2.83,,,
llama1b,0.0,judge,HaluEval,score,1.36,,,
llama1b,0.0,judge,TruthfulQA,score,0.7,,,
llama1b,0.0,standard,ARC-Challenge,correct_rate,0.48,0.0,0.52,
llama1b,0.0,standard,DROP,correct_rate,0.23,0.0,0.77,
llama1b,0.0,standard,GSM8K,correct_rate,0.19,0.0,0.81,
llama1b,0.0,standard,MATH,correct_rate,0.19,0.01,0.8,
llama1b,0.0,standard_cot,ARC-Challenge,correct_rate,0.19,0.0,0.81,0.0
llama1b,0.0,standard_cot,DROP,correct_rate,0.26,0.09,0.65,0.0
llama1b,0.0,standard_cot,GSM8K,correct_rate,0.37,0.03,0.6,0.02
llama1b,0.0,standard_cot,MATH,correct_rate,0.31,0.12,0.57,0.11
llama1b,0.1,bfcl,BFCL_v3_simple,First_pass_success,0.0,,,
llama1b,0.1,bfcl,BFCL_v3_simple,Retry_enabled_success,0.045,,,
llama1b,0.1,judge,AdvBench,score,2.75,,,
llama1b,0.1,judge,HaluEval,score,1.35,,,
llama1b,0.1,judge,TruthfulQA,score,0.71,,,
llama1b,0.1,standard,ARC-Challenge,correct_rate,0.49,0.0,0.51,
llama1b,0.1,standard,DROP,correct_rate,0.23,0.0,0.77,
llama1b,0.1,standard,GSM8K,correct_rate,0.08,0.0,0.92,
llama1b,0.1,standard,MATH,correct_rate,0.12,0.0,0.88,
llama1b,0.1,standard_cot,GSM8K,correct_rate,0.28,0.02,0.7,0.01
llama1b,0.1,standard_cot,MATH,correct_rate,0.37,0.23,0.4,0.21
llama1b,0.2,bfcl,BFCL_v3_simple,First_pass_success,0.0,,,
llama1b,0.2,bfcl,BFCL_v3_simple,Retry_enabled_success,0.005,,,
llama1b,0.2,judge,AdvBench,score,2.79,,,
llama1b,0.2,judge,HaluEval,score,1.11,,,
llama1b,0.2,judge,TruthfulQA,score,0.62,,,
llama1b,0.2,standard,ARC-Challenge,correct_rate,0.43,0.0,0.57,
llama1b,0.2,standard,DROP,correct_rate,0.13,0.0,0.87,
llama1b,0.2,standard,GSM8K,correct_rate,0.01,0.0,0.99,
llama1b,0.2,standard,MATH,correct_rate,0.12,0.0,0.88,
llama1b,0.2,standard_cot,GSM8K,correct_rate,0.2,0.12,0.68,0.07
llama1b,0.2,standard_cot,MATH,correct_rate,0.14,0.5,0.36,0.46
llama1b,0.3,bfcl,BFCL_v3_simple,First_pass_success,0.0,,,
llama1b,0.3,bfcl,BFCL_v3_simple,Retry_enabled_success,0.0,,,
llama1b,0.3,judge,AdvBench,score,2.76,,,
llama1b,0.3,judge,HaluEval,score,0.78,,,
llama1b,0.3,judge,TruthfulQA,score,0.62,,,
llama1b,0.3,standard,ARC-Challenge,correct_rate,0.08,0.0,0.92,
llama1b,0.3,standard,DROP,correct_rate,0.11,0.0,0.89,
llama1b,0.3,standard,GSM8K,correct_rate,0.01,0.01,0.98,
llama1b,0.3,standard,MATH,correct_rate,0.1,0.0,0.9,
llama1b,0.3,standard_cot,GSM8K,correct_rate,0.03,0.24,0.73,0.11
llama1b,0.3,standard_cot,MATH,correct_rate,0.02,0.57,0.41,0.47
llama3b,-0.3,bfcl,BFCL_v3_simple,First_pass_success,0.0,,,
llama3b,-0.3,bfcl,BFCL_v3_simple,Retry_enabled_success,0.0,,,
llama3b,-0.3,judge,AdvBench,score,2.87,,,
llama3b,-0.3,judge,HaluEval,score,0.04,,,
llama3b,-0.3,judge,TruthfulQA,score,0.2,,,
llama3b,-0.3,standard,ARC-Challenge,correct_rate,0.0,0.57,0.43,
llama3b,-0.3,standard,DROP,correct_rate,0.02,0.11,0.87,
llama3b,-0.3,standard,GSM8K,correct_rate,0.01,0.13,0.86,
llama3b,-0.3,standard,MATH,correct_rate,0.04,0.05,0.91,
llama3b,-0.3,standard_cot,GSM8K,correct_rate,0.0,0.99,0.01,0.99
llama3b,-0.3,standard_cot,MATH,correct_rate,0.0,0.97,0.03,0.98
llama3b,-0.2,bfcl,BFCL_v3_simple,First_pass_success,0.285,,,
llama3b,-0.2,bfcl,BFCL_v3_simple,Retry_enabled_success,0.345,,,
llama3b,-0.2,judge,AdvBench,score,2.85,,,
llama3b,-0.2,judge,HaluEval,score,1.23,,,
llama3b,-0.2,judge,TruthfulQA,score,0.76,,,
llama3b,-0.2,standard,ARC-Challenge,correct_rate,0.36,0.0,0.64,
llama3b,-0.2,standard,DROP,correct_rate,0.21,0.01,0.78,
llama3b,-0.2,standard,GSM8K,correct_rate,0.2,0.0,0.8,
llama3b,-0.2,standard,MATH,correct_rate,0.19,0.0,0.81,
llama3b,-0.2,standard_cot,GSM8K,correct_rate,0.49,0.15,0.36,0.11
llama3b,-0.2,standard_cot,MATH,correct_rate,0.19,0.39,0.42,0.42
llama3b,-0.1,bfcl,BFCL_v3_simple,First_pass_success,0.21,,,
llama3b,-0.1,bfcl,BFCL_v3_simple,Retry_enabled_success,0.38,,,
llama3b,-0.1,judge,AdvBench,score,2.91,,,
llama3b,-0.1,judge,HaluEval,score,1.62,,,
llama3b,-0.1,judge,TruthfulQA,score,0.94,,,
llama3b,-0.1,standard,ARC-Challenge,correct_rate,0.67,0.0,0.33,
llama3b,-0.1,standard,DROP,correct_rate,0.49,0.01,0.5,
llama3b,-0.1,standard,GSM8K,correct_rate,0.12,0.0,0.88,
llama3b,-0.1,standard,MATH,correct_rate,0.2,0.0,0.8,
llama3b,-0.1,standard_cot,GSM8K,correct_rate,0.7,0.05,0.25,0.03
llama3b,-0.1,standard_cot,MATH,correct_rate,0.42,0.09,0.49,0.08
llama3b,0.0,bfcl,BFCL_v3_simple,First_pass_success,0.045,,,
llama3b,0.0,bfcl,BFCL_v3_simple,Retry_enabled_success,0.095,,,
