model,perturbation,group,task,metric,beta_-0.9,beta_-0.8,beta_1,beta_1.1,beta_1.2,best_beta,best_value,delta_best_vs_beta_1,worst_beta,worst_value
llama1b,magnitude_beta,mmlu,mmlu_abstract_algebra,"acc,none",0.300000,0.260000,0.280000,0.240000,0.200000,-0.9,0.300000,0.020000,1.2,0.200000
llama1b,magnitude_beta,mmlu,mmlu_clinical_knowledge,"acc,none",0.501887,0.400000,0.532075,0.524528,0.475472,1,0.532075,0.000000,-0.8,0.400000
llama1b,magnitude_beta,mmlu,mmlu_college_biology,"acc,none",0.493056,0.416667,0.506944,0.472222,0.423611,1,0.506944,0.000000,-0.8,0.416667
llama1b,magnitude_beta,mmlu,mmlu_college_chemistry,"acc,none",0.340000,0.320000,0.390000,0.390000,0.310000,1,0.390000,0.000000,1.2,0.310000
llama1b,magnitude_beta,mmlu,mmlu_college_computer_science,"acc,none",0.360000,0.410000,0.340000,0.350000,0.380000,-0.8,0.410000,0.070000,1,0.340000
llama1b,magnitude_beta,mmlu,mmlu_college_mathematics,"acc,none",0.280000,0.280000,0.340000,0.350000,0.320000,1.1,0.350000,0.010000,-0.9,0.280000
llama1b,magnitude_beta,mmlu,mmlu_college_physics,"acc,none",0.333333,0.225490,0.284314,0.254902,0.274510,-0.9,0.333333,0.049020,-0.8,0.225490
llama1b,magnitude_beta,mmlu,mmlu_computer_security,"acc,none",0.540000,0.510000,0.560000,0.580000,0.560000,1.1,0.580000,0.020000,-0.8,0.510000
llama1b,magnitude_beta,mmlu,mmlu_elementary_mathematics,"acc,none",0.314815,0.288360,0.341270,0.309524,0.298942,1,0.341270,0.000000,-0.8,0.288360
llama1b,magnitude_beta,mmlu,mmlu_formal_logic,"acc,none",0.396825,0.373016,0.341270,0.357143,0.365079,-0.9,0.396825,0.055556,1,0.341270
llama1b,magnitude_beta,mmlu,mmlu_high_school_mathematics,"acc,none",0.288889,0.270370,0.325926,0.311111,0.274074,1,0.325926,0.000000,-0.8,0.270370
llama1b,magnitude_beta,mmlu,mmlu_high_school_physics,"acc,none",0.291391,0.357616,0.271523,0.271523,0.231788,-0.8,0.357616,0.086093,1.2,0.231788
llama1b,magnitude_beta,mmlu,mmlu_international_law,"acc,none",0.611570,0.553719,0.685950,0.644628,0.595041,1,0.685950,0.000000,-0.8,0.553719
llama1b,magnitude_beta,mmlu,mmlu_logical_fallacies,"acc,none",0.478528,0.429448,0.509202,0.460123,0.441718,1,0.509202,0.000000,-0.8,0.429448
llama1b,magnitude_beta,mmlu,mmlu_machine_learning,"acc,none",0.241071,0.267857,0.294643,0.285714,0.312500,1.2,0.312500,0.017857,-0.9,0.241071
llama1b,magnitude_beta,mmlu,mmlu_miscellaneous,"acc,none",0.621967,0.541507,0.656450,0.643678,0.572158,1,0.656450,0.000000,-0.8,0.541507
llama1b,magnitude_beta,mmlu,mmlu_moral_disputes,"acc,none",0.471098,0.433526,0.468208,0.427746,0.381503,-0.9,0.471098,0.002890,1.2,0.381503
llama1b,magnitude_beta,mmlu,mmlu_philosophy,"acc,none",0.530547,0.440514,0.514469,0.495177,0.443730,-0.9,0.530547,0.016077,-0.8,0.440514
llama1b,magnitude_beta,mmlu,mmlu_professional_law,"acc,none",0.364407,0.330508,0.369622,0.363755,0.289439,1,0.369622,0.000000,1.2,0.289439
llama1b,magnitude_beta,mmlu,mmlu_professional_medicine,"acc,none",0.580882,0.485294,0.573529,0.518382,0.430147,-0.9,0.580882,0.007353,1.2,0.430147
